,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,weight
737,1,1,male,35.0,0,0,512.3292,C,1
738,0,3,male,,0,0,7.8958,S,1
739,0,3,male,,0,0,7.8958,S,1
740,1,1,male,,0,0,30.0,S,1
741,0,1,male,36.0,1,0,78.85,S,1
742,1,1,female,21.0,2,2,262.375,C,1
744,1,3,male,31.0,0,0,7.925,S,1
745,0,1,male,70.0,1,1,71.0,S,1
746,0,3,male,16.0,1,1,20.25,S,1
747,1,2,female,30.0,0,0,13.0,S,1
748,0,1,male,19.0,1,0,53.1,S,1
749,0,3,male,31.0,0,0,7.75,Q,1
750,1,2,female,4.0,1,1,23.0,S,1
751,1,3,male,6.0,0,1,12.475,S,1
752,0,3,male,33.0,0,0,9.5,S,1
753,0,3,male,23.0,0,0,7.8958,S,1
754,1,2,female,48.0,1,2,65.0,S,1
757,0,2,male,18.0,0,0,11.5,S,1
758,0,3,male,34.0,0,0,8.05,S,1
759,1,1,female,33.0,0,0,86.5,S,1
760,0,3,male,,0,0,14.5,S,1
761,0,3,male,41.0,0,0,7.125,S,1
762,1,3,male,20.0,0,0,7.2292,C,1
763,1,1,female,36.0,1,2,120.0,S,1
764,0,3,male,16.0,0,0,7.775,S,1
765,1,1,female,51.0,1,0,77.9583,S,1
766,0,1,male,,0,0,39.6,C,1
767,0,3,female,30.5,0,0,7.75,Q,1
768,0,3,male,,1,0,24.15,Q,1
769,0,3,male,32.0,0,0,8.3625,S,1
771,0,3,male,48.0,0,0,7.8542,S,1
772,0,2,female,57.0,0,0,10.5,S,1
773,0,3,male,,0,0,7.225,C,1
774,1,2,female,54.0,1,3,23.0,S,1
775,0,3,male,18.0,0,0,7.75,S,1
776,0,3,male,,0,0,7.75,Q,1
777,1,3,female,5.0,0,0,12.475,S,1
778,0,3,male,,0,0,7.7375,Q,1
779,1,1,female,43.0,0,1,211.3375,S,1
780,1,3,female,13.0,0,0,7.2292,C,1
782,0,1,male,29.0,0,0,30.0,S,1
784,0,3,male,25.0,0,0,7.05,S,1
785,0,3,male,25.0,0,0,7.25,S,1
786,1,3,female,18.0,0,0,7.4958,S,1
787,0,3,male,8.0,4,1,29.125,Q,1
788,1,3,male,1.0,1,2,20.575,S,1
789,0,1,male,46.0,0,0,79.2,C,1
790,0,3,male,,0,0,7.75,Q,1
791,0,2,male,16.0,0,0,26.0,S,1
792,0,3,female,,8,2,69.55,S,1
793,0,1,male,,0,0,30.6958,C,1
794,0,3,male,25.0,0,0,7.8958,S,1
796,1,1,female,49.0,0,0,25.9292,S,1
797,1,3,female,31.0,0,0,8.6833,S,1
798,0,3,male,30.0,0,0,7.2292,C,1
800,0,2,male,34.0,0,0,13.0,S,1
802,1,1,male,11.0,1,2,120.0,S,1
803,1,3,male,0.42,0,1,8.5167,C,1
804,1,3,male,27.0,0,0,6.975,S,1
805,0,3,male,31.0,0,0,7.775,S,1
806,0,1,male,39.0,0,0,0.0,S,1
807,0,3,female,18.0,0,0,7.775,S,1
808,0,2,male,39.0,0,0,13.0,S,1
809,1,1,female,33.0,1,0,53.1,S,1
810,0,3,male,26.0,0,0,7.8875,S,1
811,0,3,male,39.0,0,0,24.15,S,1
812,0,2,male,35.0,0,0,10.5,S,1
813,0,3,female,6.0,4,2,31.275,S,1
814,0,3,male,30.5,0,0,8.05,S,1
816,0,3,female,23.0,0,0,7.925,S,1
817,0,2,male,31.0,1,1,37.0042,C,1
818,0,3,male,43.0,0,0,6.45,S,1
819,0,3,male,10.0,3,2,27.9,S,1
820,1,1,female,52.0,1,1,93.5,S,1
821,1,3,male,27.0,0,0,8.6625,S,1
823,1,3,female,27.0,0,1,12.475,S,1
824,0,3,male,2.0,4,1,39.6875,S,1
825,0,3,male,,0,0,6.95,Q,1
826,0,3,male,,0,0,56.4958,S,1
827,1,2,male,1.0,0,2,37.0042,C,1
828,1,3,male,,0,0,7.75,Q,1
829,1,1,female,62.0,0,0,80.0,,1
830,1,3,female,15.0,1,0,14.4542,C,1
832,0,3,male,,0,0,7.2292,C,1
833,0,3,male,23.0,0,0,7.8542,S,1
834,0,3,male,18.0,0,0,8.3,S,1
835,1,1,female,39.0,1,1,83.1583,C,1
836,0,3,male,21.0,0,0,8.6625,S,1
837,0,3,male,,0,0,8.05,S,1
839,1,1,male,,0,0,29.7,C,1
840,0,3,male,20.0,0,0,7.925,S,1
843,0,3,male,34.5,0,0,6.4375,C,1
844,0,3,male,17.0,0,0,8.6625,S,1
845,0,3,male,42.0,0,0,7.55,S,1
846,0,3,male,,8,2,69.55,S,1
847,0,3,male,35.0,0,0,7.8958,C,1
849,1,1,female,,1,0,89.1042,C,1
851,0,3,male,74.0,0,0,7.775,S,1
852,0,3,female,9.0,1,1,15.2458,C,1
853,1,1,female,16.0,0,1,39.4,S,1
854,0,2,female,44.0,1,0,26.0,S,1
855,1,3,female,18.0,0,1,9.35,S,1
856,1,1,female,45.0,1,1,164.8667,S,1
857,1,1,male,51.0,0,0,26.55,S,1
859,0,3,male,,0,0,7.2292,C,1
860,0,3,male,41.0,2,0,14.1083,S,1
861,0,2,male,21.0,1,0,11.5,S,1
862,1,1,female,48.0,0,0,25.9292,S,1
863,0,3,female,,8,2,69.55,S,1
864,0,2,male,24.0,0,0,13.0,S,1
865,1,2,female,42.0,0,0,13.0,S,1
866,1,2,female,27.0,1,0,13.8583,C,1
867,0,1,male,31.0,0,0,50.4958,S,1
869,1,3,male,4.0,1,1,11.1333,S,1
870,0,3,male,26.0,0,0,7.8958,S,1
871,1,1,female,47.0,1,1,52.5542,S,1
872,0,1,male,33.0,0,0,5.0,S,1
873,0,3,male,47.0,0,0,9.0,S,1
874,1,2,female,28.0,1,0,24.0,C,1
876,0,3,male,20.0,0,0,9.8458,S,1
878,0,3,male,,0,0,7.8958,S,1
880,1,2,female,25.0,0,1,26.0,S,1
881,0,3,male,33.0,0,0,7.8958,S,1
882,0,3,female,22.0,0,0,10.5167,S,1
883,0,2,male,28.0,0,0,10.5,S,1
885,0,3,female,39.0,0,5,29.125,Q,1
886,0,2,male,27.0,0,0,13.0,S,1
887,1,1,female,19.0,0,0,30.0,S,1
889,1,1,male,26.0,0,0,30.0,C,1
